ts,x,y,z,rx,ry,rz,rw
63755672388589,-0.03967786,1.592157,-0.566087,0.0009422457,0.03211894,-0.006478371,0.9994626
63755672388603,-0.04066062,1.59166,-0.5702713,0.0005615334,0.03251895,-0.006436048,0.9994503
63755672388617,-0.04125619,1.591266,-0.5729836,0.0001987832,0.0330047,-0.006380646,0.9994348
63755672388631,-0.04217601,1.590706,-0.5771205,-0.0001253189,0.03357543,-0.006213536,0.9994169
63755672388644,-0.04348195,1.589763,-0.5830914,-0.0004573439,0.03469405,-0.006278086,0.9993782
63755672388658,-0.04431629,1.589067,-0.5870887,-0.0004133706,0.03532533,-0.006448354,0.999355
63755672388672,-0.04506946,1.588569,-0.5906892,-0.0003728495,0.0359182,-0.006530071,0.9993334
63755672388686,-0.04593182,1.588023,-0.5947219,-0.001300943,0.03670239,-0.006481568,0.9993044
63755672388700,-0.04676175,1.587484,-0.5985323,-0.00242433,0.03734434,-0.00628283,0.9992798
63755672388714,-0.04762173,1.58697,-0.602448,-0.003461998,0.03783807,-0.006256793,0.9992583
63755672388728,-0.04834914,1.586512,-0.6057342,-0.004295892,0.03825514,-0.006094982,0.9992402
63755672388742,-0.04926169,1.585868,-0.6100217,-0.005195359,0.03874437,-0.005829024,0.9992186
63755672388756,-0.05004597,1.585366,-0.6139325,-0.005879038,0.03907334,-0.005477458,0.999204
63755672388769,-0.05069709,1.584875,-0.6172223,-0.006661659,0.03937332,-0.004958205,0.9991901
63755672388784,-0.0514884,1.584328,-0.6211247,-0.007751419,0.03966956,-0.004163919,0.9991741
63755672388798,-0.05224466,1.583852,-0.6248267,-0.009114346,0.03995138,-0.003061958,0.9991554
63755672388812,-0.05287015,1.583523,-0.6278467,-0.01063651,0.04019766,-0.00257804,0.9991318
63755672388826,-0.05363107,1.583307,-0.6317419,-0.01239095,0.04032626,-0.002497735,0.9991066
63755672388839,-0.05429256,1.583178,-0.6353352,-0.0146078,0.04046662,-0.002562192,0.9990708
63755672388853,-0.05491352,1.58311,-0.6388267,-0.01697268,0.04066985,-0.002587575,0.9990251
63755672388867,-0.05541933,1.582965,-0.641768,-0.01930392,0.04080058,-0.002346332,0.9989781
63755672388880,-0.05593276,1.582674,-0.6449066,-0.02148035,0.0409958,-0.001788805,0.9989268
63755672388895,-0.05634058,1.582382,-0.6475455,-0.02283082,0.04109504,-0.001048843,0.9988938
63755672388909,-0.05675757,1.582133,-0.6502679,-0.02423265,0.04120551,-0.0005125297,0.9988567
63755672388922,-0.05705643,1.581962,-0.6523877,-0.0254983,0.04132991,-0.0001500856,0.9988201
63755672388937,-0.05732954,1.581763,-0.6545584,-0.02672669,0.04142502,0.0001550727,0.9987841
63755672388951,-0.05747962,1.581626,-0.6559084,-0.0274135,0.04143184,0.0002929896,0.9987652
63755672388964,-0.05759013,1.581592,-0.6573644,-0.02825931,0.0413785,5.513184E-05,0.9987438
63755672388978,-0.05766308,1.581455,-0.6593666,-0.02950431,0.04127676,-0.0001718294,0.998712
63755672388992,-0.05761194,1.581255,-0.6605165,-0.02987375,0.04122975,-0.0003228151,0.9987029
63755672389006,-0.05746782,1.581051,-0.6612667,-0.02977727,0.04118947,-0.0003260336,0.9987075
63755672389020,-0.05721045,1.580845,-0.6619712,-0.02932319,0.04134161,-0.0005128707,0.9987146
63755672389033,-0.05694604,1.580775,-0.6623207,-0.02872675,0.04150007,-0.0007202725,0.9987252
63755672389047,-0.05658698,1.580765,-0.6625417,-0.02824169,0.04163347,-0.0006117363,0.9987336
63755672389061,-0.05620086,1.580894,-0.6624908,-0.02828082,0.04177168,-0.0005019667,0.9987267
63755672389075,-0.05574584,1.581064,-0.6623449,-0.02851875,0.04186172,-0.0001675803,0.9987163
63755672389089,-0.05543566,1.581218,-0.6621416,-0.02885758,0.04201926,-2.815766E-05,0.9987
63755672389103,-0.05475843,1.581578,-0.6614374,-0.02970445,0.04229915,4.825008E-05,0.9986633
63755672389117,-0.05439079,1.581772,-0.6610101,-0.02986697,0.04251212,-0.0003729243,0.9986494
63755672389131,-0.05362141,1.58212,-0.6599491,-0.0295707,0.043238,-0.002006973,0.9986251
63755672389145,-0.05320048,1.582332,-0.6593418,-0.02917664,0.04369193,-0.002965367,0.9986145
63755672389159,-0.05239594,1.582832,-0.6578746,-0.02871717,0.04503637,-0.00476318,0.9985611
63755672389173,-0.05201721,1.5831,-0.6571264,-0.02879428,0.04575954,-0.005514262,0.9985222
63755672389187,-0.05129874,1.58364,-0.6556342,-0.02892904,0.04711721,-0.00667658,0.9984481
63755672389201,-0.05032289,1.58415,-0.6530242,-0.02934728,0.04912644,-0.008250027,0.9983273
63755672389214,-0.04975438,1.584393,-0.6511723,-0.02950807,0.05010617,-0.009212298,0.9982654
63755672389228,-0.04929686,1.584802,-0.6494709,-0.02956412,0.0507857,-0.01009466,0.9982209
63755672389242,-0.04882002,1.585443,-0.6470799,-0.03021266,0.05147837,-0.0106026,0.9981607
63755672389256,-0.04842079,1.585832,-0.6449512,-0.0312145,0.05200499,-0.01096107,0.9980987
